140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,137,139,140,140,140,140
140,140,140,140,140,140,140,140,137,139,140,140,140,140,140
140,140,140,140,140,140,140,140,137,140,140,140,140,140,140
140,140,140,140,140,140,140,140,137,140,140,140,140,140,140
140,140,140,140,140,140,140,137,140,140,140,140,140,140,140
140,140,140,140,140,140,140,137,140,140,140,140,140,140,140
140,140,140,140,140,140,140,136,140,140,140,140,140,140,140
140,140,140,140,140,140,140,136,140,140,140,140,140,140,140
140,140,140,140,140,140,140,136,140,140,140,140,140,140,140
140,140,140,140,140,140,138,137,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,140,136,140,140,140,140,140,140,140,140
140,140,140,140,140,51,137,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
