stamp,x,y,yaw,v,w,collisions,blocked_commands,distance,quality_enabled,top_blocked,all_blocked,reset_sequence,evidence
1789808745.4348776,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.4600213,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.48503,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.5098643,-4.28509809961046,0.00013880168128944996,0.01862818350001305,0.5999999999999999,0.75,0,0,0.0149025468000103,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.5351975,-4.269921423619192,0.0005656421850177089,0.037606530000019234,0.5999999999999999,0.75,0,0,0.03008522400001507,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.559587,-4.25527342525582,0.0012512518129552566,0.05593657350000569,0.5999999999999999,0.75,0,0,0.04474925880000392,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.5847964,-4.240181889021335,0.002239480905023037,0.07484139524999023,0.5999999999999999,0.75,0,0,0.059873116199991624,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.6098726,-4.225191589827251,0.0035053147784890656,0.09364595775002725,0.5999999999999999,0.75,0,0,0.07491676620002119,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.6347775,-4.210328989457451,0.005041367361976197,0.11232316425001442,0.5999999999999999,0.75,0,0,0.0898585314000107,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.6598907,-4.1953744539042725,0.0068709716295870995,0.13115571525001715,0.5999999999999999,0.75,0,0,0.10492457220001286,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.684857,-4.180541191428166,0.00896915185773753,0.14988186825002006,0.5999999999999999,0.75,0,0,0.11990549460001493,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.7099056,-4.165709164094663,0.011327807338956622,0.1655260332500106,0.5999999999999999,0.625,0,0,0.1349238930000061,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.7349381,-4.1509110251312515,0.013919083132857175,0.18117530700001086,0.5999999999999999,0.625,0,0,0.14994719580000607,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.7598646,-4.1362245425210595,0.01672779722753882,0.19675098074999656,0.5999999999999999,0.625,0,0,0.1648998425999922,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.78505,-4.121429374040601,0.01979817113434045,0.2124909813750051,0.5999999999999999,0.625,0,0,0.18001024320000003,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.809607,-4.107040168240893,0.02301845689263883,0.2278505138750262,0.5999999999999999,0.625,0,0,0.19475539440002035,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.8348625,-4.092313559935188,0.026555861673461828,0.24362707825000027,0.5999999999999999,0.625,0,0,0.20990089619999538,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.8599534,-4.0777332193959355,0.030301635708933735,0.25930812887499854,0.5999999999999999,0.625,0,0,0.22495470479999366,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.8848014,-4.063343651736617,0.034238837906273495,0.27484821824999983,0.5999999999999999,0.625,0,0,0.23987319059999473,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.9097974,-4.048940872017732,0.03842192511582408,0.29047107512501924,0.5999999999999999,0.625,0,0,0.2548711332000131,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.9347293,-4.034641094018578,0.04281816229416535,0.30605472012501167,0.5999999999999999,0.625,0,0,0.26983143240000573,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.9596632,-4.020411892541089,0.047436588163179125,0.3216379988750049,0.5999999999999999,0.625,0,0,0.2847913799999994,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808745.9851654,-4.005971928402395,0.05237596670766009,0.3375352801250173,0.5999999999999999,0.625,0,0,0.30005277000001124,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.00981,-3.992026359702878,0.057391622566955035,0.3529728957499998,0.5999999999999999,0.625,0,0,0.3148728809999945,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.034926,-3.9787526350230413,0.06237652800232625,0.3655271252500114,0.5647058823529411,0.5,0,0,0.3290517754941253,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.0601025,-3.965506968095403,0.06754180566157202,0.3781152402500112,0.5647058823529411,0.5,0,0,0.3432689406705955,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.084994,-3.952476497739519,0.0728119977854424,0.39056056075001777,0.5647058823529411,0.5,0,0,0.35732483205883836,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.1099832,-3.9386375757838996,0.07858561276945353,0.3999324433750004,0.5999999999999999,0.375,0,0,0.3723198442588106,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.135047,-3.9248153371041954,0.08450516865886479,0.409330237000006,0.5999999999999999,0.375,0,0,0.3873563140588193,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.1602185,-3.9109966046475657,0.09057783011198069,0.41876410600001884,0.5999999999999999,0.375,0,0,0.4024505044588398,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.1849632,-3.8982494454778784,0.09632252411368686,0.4280489151250179,0.5647058823529411,0.375,0,0,0.41643233467060325,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.2100408,-3.8853890006891385,0.10226349402406504,0.43745627312500085,0.5647058823529411,0.375,0,0,0.43059870907057757,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.2347317,-3.8719907713314616,0.1086053383363314,0.4467208633750203,0.5999999999999999,0.375,0,0,0.44542205347060887,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.2597787,-3.8584738565428127,0.11515836008494258,0.4561093761250134,0.5999999999999999,0.375,0,0,0.4604436738705979,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.2847917,-3.845026416419955,0.12183429952255848,0.4654927435000004,0.5999999999999999,0.375,0,0,0.4754570616705771,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.309693,-3.831707006791804,0.12860281440544777,0.4748305753750088,0.5999999999999999,0.375,0,0,0.49039759267059063,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.3346944,-3.8183981739005772,0.1355233903563196,0.4842059796250097,0.5999999999999999,0.375,0,0,0.5053982394705919,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.3595936,-3.8059827216048583,0.14212771900679688,0.49354451687501916,0.5647058823529411,0.375,0,0,0.519460977917665,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.385696,-3.7930576095260755,0.1491624225363711,0.5033165203750158,0.5647058823529411,0.375,0,0,0.5341764655411894,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.4097881,-3.7811553611020035,0.15578632467050416,0.5123619096250067,0.5647058823529411,0.375,0,0,0.5477977575882346,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.434826,-3.7688674564482403,0.1627739461940548,0.521748931750011,0.5647058823529411,0.375,0,0,0.5619335085529468,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.4598653,-3.7566418414788307,0.16987886295613655,0.5311389141250018,0.5647058823529411,0.375,0,0,0.5760737173058741,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.485075,-3.7444064749140153,0.1771444804719349,0.540588535000019,0.5647058823529411,0.375,0,0,0.5903037346235472,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.5099566,-3.731639219195378,0.18488903914921298,0.5499213778750089,0.5999999999999999,0.375,0,0,0.605236283223531,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.534702,-3.719005987264109,0.19271411599067428,0.5592091045000201,0.5999999999999999,0.375,0,0,0.6200966458235492,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.5596645,-3.706348338997076,0.20071856822666828,0.5685692451250118,0.5999999999999999,0.375,0,0,0.6350728708235359,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.5848076,-3.693676978505494,0.20889931952710503,0.5779959373750144,0.5999999999999999,0.375,0,0,0.6501555784235401,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.6097336,-3.681185487001041,0.21713111936515747,0.5873459016250208,0.5999999999999999,0.375,0,0,0.6651155212235504,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.6347072,-3.6687389438082474,0.22547320214695948,0.5935890476250093,0.5999999999999999,0.25,0,0,0.6800990716235229,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.6598542,-3.656258938873554,0.2339514975753571,0.5998754971250192,0.5999999999999999,0.25,0,0,0.6951865504235466,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.6848626,-3.6439027441965135,0.24245937210621954,0.6061263231250179,0.5999999999999999,0.25,0,0,0.7101885328235436,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.7097907,-3.63164824319494,0.2510104083645287,0.6123525698750071,0.5999999999999999,0.25,0,0,0.7251315250235176,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.7349393,-3.619322862209149,0.25972609766549193,0.6186424186250078,0.5999999999999999,0.25,0,0,0.7402271620235195,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.7594805,-3.6073466985900695,0.26830697570922313,0.6247811498750123,0.5999999999999999,0.25,0,0,0.7549601170235305,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.7855394,-3.594702207955567,0.27748829073792125,0.6312920873750086,0.5999999999999999,0.25,0,0,0.7705863670235217,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.8115106,-3.582144783666683,0.286731713062524,0.6377890118750073,0.5999999999999999,0.25,0,0,0.7861789858235184,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.834815,-3.570941174121817,0.29508549665930894,0.6436120171250151,0.5999999999999999,0.25,0,0,0.8001541984235374,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.859972,-3.5588971020825166,0.3041799576837756,0.6499003563750206,0.5999999999999999,0.25,0,0,0.8152462126235505,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.8856773,-3.5466503222562125,0.3135503117235617,0.6563255016250124,0.5999999999999999,0.25,0,0,0.8306665612235306,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.9100063,-3.535094111052043,0.32247933862907163,0.6593679782500103,0.5999999999999999,0.125,0,0,0.8452704490235203,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.9353166,-3.5231147509154366,0.33179480289357666,0.6625294525000099,0.5999999999999999,0.125,0,0,0.8604455254235187,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.9597642,-3.5115650239581484,0.3408624804517919,0.668647773250015,0.5999999999999999,0.25,0,0,0.8751294952235309,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808746.985158,-3.4996517934900537,0.35033610561583844,0.6749897990000163,0.5999999999999999,0.25,0,0,0.890350357023534,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.0099773,-3.4880390519657185,0.3596903753968213,0.6812029980000175,0.5999999999999999,0.25,0,0,0.9052620346235369,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.0347176,-3.476537329975649,0.3690733707575156,0.687387799750013,0.5999999999999999,0.25,0,0,0.920105558823526,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.0606716,-3.464538738180031,0.37898896904987056,0.6938734315000231,0.5999999999999999,0.25,0,0,0.9356710750235504,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.0848293,-3.4534194030083145,0.38829577691215206,0.6999151885000144,0.5999999999999999,0.25,0,0,0.9501712918235294,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.1099718,-3.4419453477625295,0.3979893025101744,0.7030444798750181,0.5999999999999999,0.125,0,0,0.9651918904235467,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
