stamp,x,y,yaw,v,w,collisions,blocked_commands,distance,quality_enabled,top_blocked,all_blocked,reset_sequence,evidence
1789808660.4599454,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.4868598,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.5098748,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.5348718,-4.285006789350792,0.000163930345627953,0.02186640574999643,0.5999999999999999,0.875,0,0,0.014994106799997742,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.5600104,-4.269941713749179,0.0006591060997320213,0.04384817237502858,0.5999999999999999,0.875,0,0,0.03006731820002008,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.584787,-4.255077278066463,0.0014730482740504677,0.06555794875001908,0.5999999999999999,0.875,0,0,0.04495402200001327,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.6102543,-4.23984180387239,0.0026194962002300285,0.08465613325002863,0.5999999999999999,0.75,0,0,0.06023256960002113,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.634772,-4.225191904224039,0.003998481461198454,0.10304945575001767,0.5999999999999999,0.75,0,0,0.07494722760001278,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.6598375,-4.210250317343258,0.005685740020274489,0.12184514425002389,0.5999999999999999,0.75,0,0,0.08998377840001744,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.6847932,-4.195404627896249,0.007644810348455827,0.140563135750007,0.5999999999999999,0.75,0,0,0.10495817160000374,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.7097936,-4.180574801079349,0.009885163043617704,0.1593107582500224,0.5999999999999999,0.75,0,0,0.11995626960001583,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.7348933,-4.165748763058746,0.012386550214596375,0.17497280950000516,0.5999999999999999,0.625,0,0,0.13499183879999957,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.7632558,-4.149003285716319,0.01550026316492624,0.19271500200002833,0.5999999999999999,0.625,0,0,0.15202434360002218,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.7855504,-4.13591058423686,0.018149819325269205,0.2066296951250095,0.5999999999999999,0.625,0,0,0.16538244900000443,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.822582,-4.114202544944491,0.022963387763848906,0.2297914857500132,0.5999999999999999,0.625,0,0,0.18761776800000793,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.8349233,-4.1069995431628605,0.024683540166170748,0.2390484222499936,0.5999999999999999,0.75,0,0,0.19502331719999205,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.8598099,-4.092516950886409,0.028332646159840227,0.25460596600000684,0.5999999999999999,0.625,0,0,0.20995855920000517,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.8849318,-4.077974951294533,0.03223928160845773,0.2702909741250039,0.5999999999999999,0.625,0,0,0.225016167000002,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
1789808660.9100018,-4.063500649281102,0.03637215549115695,0.28597094912500864,0.5999999999999999,0.625,0,0,0.24006894300000647,True,False,False,2,synthetic_2d_kinematics_ideal_odometry
