stamp,x,y,yaw,v,w,collisions,blocked_commands,distance,quality_enabled,top_blocked,all_blocked,reset_sequence,evidence
1789808688.6598527,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.6848207,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.7097456,-4.285048154353211,0.00016302696393618422,0.021806070999971894,0.5999999999999999,0.875,0,0,0.014952734399980917,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.7347403,-4.270057472751936,0.0006540369086423124,0.043679205499984164,0.5999999999999999,0.875,0,0,0.029951455199989367,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.7600994,-4.25487785583886,0.0014861699819842256,0.06584938412498786,0.5999999999999999,0.875,0,0,0.04515386339999152,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.7850664,-4.2399405478944665,0.0026117530469096503,0.08457395462497175,0.5999999999999999,0.75,0,0,0.06013351979997887,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.8096955,-4.225223633432978,0.00399645033737657,0.10305134612499955,0.5999999999999999,0.75,0,0,0.07491543300000145,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.8347683,-4.210275669319643,0.00568451847182959,0.12185506937500179,0.5999999999999999,0.75,0,0,0.08995841160000327,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.8599567,-4.195298089336577,0.007662413415514193,0.14073958562498493,0.5999999999999999,0.75,0,0,0.10506602459998997,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.8850117,-4.18043067811828,0.009911492924087991,0.1595352913749793,0.5999999999999999,0.75,0,0,0.12010258919998558,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.9099174,-4.165696793881691,0.012400000705504082,0.17510045512498357,0.5999999999999999,0.625,0,0,0.13504514639998938,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.9347808,-4.1510188448414995,0.015114557416132999,0.19064926262498014,0.5999999999999999,0.625,0,0,0.14997200159998608,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.960099,-4.13612898432987,0.018110562941914196,0.20647039262499342,0.5999999999999999,0.625,0,0,0.16516028639999844,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808688.9847567,-4.121670936866169,0.02127876646352816,0.2249717713750102,0.5999999999999999,0.75,0,0,0.17996138940001227,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.0099125,-4.106996012320802,0.02478300567162006,0.2438311648749903,0.5999999999999999,0.75,0,0,0.1950489041999963,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.0347378,-4.092568267006294,0.028491457723029072,0.25934858799999466,0.5999999999999999,0.625,0,0,0.20994563040000044,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.0598795,-4.078019555310119,0.032474184977614305,0.2750610904999818,0.5999999999999999,0.625,0,0,0.22502963279998847,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.085076,-4.063531657323842,0.03668607269051276,0.29077746174998254,0.5999999999999999,0.625,0,0,0.2401173491999889,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.1097322,-4.0493595340158866,0.04104674709320053,0.3062231186249776,0.5999999999999999,0.625,0,0,0.25494517979998377,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.1348443,-4.035025347485027,0.045702836770875874,0.3219225273749871,0.5999999999999999,0.625,0,0,0.2700166121999928,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.159734,-4.020895287002392,0.050538011921717266,0.337479236749978,0.5999999999999999,0.625,0,0,0.2849510531999843,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.1847742,-4.006753485975098,0.05560004046084227,0.34999629925000175,0.5999999999999999,0.5,0,0,0.2999715282000129,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.209798,-3.9926858657402566,0.060834997832177246,0.3625047052499967,0.5999999999999999,0.5,0,0,0.3149816154000067,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.2349617,-3.979436430511757,0.0659555787767271,0.3750816082499925,0.5647058823529411,0.5,0,0,0.3291861176117666,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.2598183,-3.9664082795343876,0.07117876933556588,0.38750947874999764,0.5647058823529411,0.5,0,0,0.3432223007647137,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.2850528,-3.95324833575692,0.07664706266679629,0.40012740724998974,0.5647058823529411,0.5,0,0,0.3574731376588224,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.3101408,-3.9394231631296086,0.08257108788719819,0.40952798637499666,0.5999999999999999,0.375,0,0,0.37251406425883327,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.3349295,-3.925796359872335,0.08856156024939812,0.41883136962499645,0.5999999999999999,0.375,0,0,0.3873994774588328,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.360054,-3.9120582692995285,0.09475504900178844,0.42824990262499807,0.5999999999999999,0.375,0,0,0.4024691302588353,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.3849802,-3.899282130915643,0.10065971672261363,0.43759632724998465,0.5647058823529411,0.375,0,0,0.4165437461646973,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.4098768,-3.886570302751749,0.10667943071168813,0.44693644437499824,0.5647058823529411,0.375,0,0,0.4306088637176591,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
1789808689.434833,-3.873122046474787,0.11320235879366818,0.4562781391249971,0.5999999999999999,0.375,0,0,0.4455555753176575,True,False,False,3,synthetic_2d_kinematics_ideal_odometry
