stamp,x,y,yaw,v,w,collisions,blocked_commands,distance,quality_enabled,top_blocked,all_blocked,reset_sequence,evidence
1789808636.2350085,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.260043,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.2848651,-4.3,0.0,0.0,0.0,0.0,0,0,0.0,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.310258,-4.285747714661059,-0.00011241369976469451,-0.015774504375016818,0.5647058823529411,-0.625,0,0,0.014252728658838738,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.334826,-4.271801802169161,-0.0004401206510409467,-0.03121369437501187,0.5647058823529411,-0.625,0,0,0.02820249091765817,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.3598273,-4.2567927752760335,-0.0010498533567146777,-0.049990452875007925,0.5999999999999999,-0.75,0,0,0.043223897717655335,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.3847563,-4.241863447522503,-0.0019367670056959709,-0.0686850143749922,0.5999999999999999,-0.75,0,0,0.058179546917642794,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.4099586,-4.226796670084986,-0.0030924679942305015,-0.08442567749999343,0.5999999999999999,-0.625,0,0,0.07329058351764389,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.4348896,-4.21190027124781,-0.004470081358307978,-0.10000897312498581,0.5999999999999999,-0.625,0,0,0.08825054731763694,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.4599764,-4.196941918387895,-0.006089552890669656,-0.11568164375000124,0.5999999999999999,-0.625,0,0,0.1032963111176521,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.4852226,-4.181921670855758,-0.007979110426343937,-0.13460493724998202,0.5999999999999999,-0.75,0,0,0.11843494591763695,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.5099962,-4.167194174551962,-0.010113234132245682,-0.15320658500001372,0.5999999999999999,-0.75,0,0,0.13331626411766268,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.534831,-4.15249120649252,-0.012524002718374365,-0.1718307072500025,0.5999999999999999,-0.75,0,0,0.14821556191765362,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
1789808636.5600398,-4.137630856624556,-0.01522348419417389,-0.18756357099999119,0.5999999999999999,-0.625,0,0,0.16331911111764288,False,False,False,1,synthetic_2d_kinematics_ideal_odometry
