scenario,seed,mode,objective,planning_ms,expanded,success,length_m,latent_quality_mean,synthetic_low_quality_exposure_m,normalized_cost_integral,unknown_exposure_m,collision_cells,valid_path,route
dual_route,100,geometric,38.0,0.3916850000678096,39,True,38.0,0.402079360409026,27.0,0.0,0.0,0,True,direct
dual_route,100,linear,69.66792026059679,2.597316999981558,261,True,56.48528137423857,0.9018599913023024,0.0,4.394212962119417,0.0,0,True,detour
dual_route,100,nonlinear,69.66792026059679,2.039364000211208,261,True,56.48528137423857,0.9018599913023024,0.0,4.394212962119417,0.0,0,True,detour
dual_route,100,full,72.36960032603676,1.9797249997282051,265,True,56.48528137423857,0.9018599913023024,0.0,5.294772983932726,0.0,0,True,detour
dual_route,100,no_variance,69.67982502250155,11.56405400024596,261,True,56.48528137423857,0.9018599913023024,0.0,4.3981812160876705,0.0,0,True,detour
dual_route,100,no_count,72.35769556413199,1.8715530000008584,265,True,56.48528137423857,0.9018599913023024,0.0,5.2908047299644725,0.0,0,True,detour
dual_route,100,no_age,72.36960032603676,11.475196999981563,265,True,56.48528137423857,0.9018599913023024,0.0,5.294772983932726,0.0,0,True,detour
dual_route,101,geometric,38.0,0.4749109998556378,39,True,38.0,0.4024611726988474,27.0,0.0,0.0,0,True,direct
dual_route,101,linear,69.65210565196888,2.1377549996941525,258,True,56.48528137423856,0.9020996000398159,0.0,4.388941425910107,0.0,0,True,detour
dual_route,101,nonlinear,69.65210565196888,2.4494280000908475,258,True,56.48528137423856,0.9020996000398159,0.0,4.388941425910107,0.0,0,True,detour
dual_route,101,full,72.34188095550408,3.4469019997231953,264,True,56.48528137423856,0.9020996000398159,0.0,5.285533193755162,0.0,0,True,detour
dual_route,101,no_variance,69.65210565196888,12.772764000146708,258,True,56.48528137423856,0.9020996000398159,0.0,4.388941425910107,0.0,0,True,detour
dual_route,101,no_count,72.34188095550408,13.676714999746764,264,True,56.48528137423856,0.9020996000398159,0.0,5.285533193755162,0.0,0,True,detour
dual_route,101,no_age,72.34188095550408,2.163741000003938,264,True,56.48528137423856,0.9020996000398159,0.0,5.285533193755162,0.0,0,True,detour
dual_route,102,geometric,38.0,0.6514470001093287,39,True,38.0,0.4031286675865101,27.0,0.0,0.0,0,True,direct
dual_route,102,linear,69.99427994586318,11.44517700004144,262,True,56.48528137423856,0.9001704312092221,0.0,4.502999523874866,0.0,0,True,detour
dual_route,102,nonlinear,69.99427994586318,2.1934139999757463,262,True,56.48528137423856,0.9001704312092221,0.0,4.502999523874866,0.0,0,True,detour
dual_route,102,full,72.68405524939831,2.302663999671495,267,True,56.48528137423856,0.9001704312092221,0.0,5.39959129171992,0.0,0,True,detour
dual_route,102,no_variance,69.99427994586318,2.043736000359786,262,True,56.48528137423856,0.9001704312092221,0.0,4.502999523874866,0.0,0,True,detour
dual_route,102,no_count,72.68405524939831,11.338736000197969,267,True,56.48528137423856,0.9001704312092221,0.0,5.39959129171992,0.0,0,True,detour
dual_route,102,no_age,72.68405524939831,2.097267999943142,267,True,56.48528137423856,0.9001704312092221,0.0,5.39959129171992,0.0,0,True,detour
dual_route,103,geometric,38.0,0.3660239999589976,39,True,38.0,0.3945041987081544,27.0,0.0,0.0,0,True,direct
dual_route,103,linear,69.67344961885951,1.9112410000161617,258,True,56.48528137423856,0.9021587731437958,0.0,4.396056081540317,0.0,0,True,detour
dual_route,103,nonlinear,69.67344961885951,2.0584979997693154,258,True,56.48528137423856,0.9021587731437958,0.0,4.396056081540317,0.0,0,True,detour
dual_route,103,full,72.36322492239468,2.0419430002220906,264,True,56.48528137423856,0.9021587731437958,0.0,5.292647849385373,0.0,0,True,detour
dual_route,103,no_variance,69.67344961885951,10.159886999645096,258,True,56.48528137423856,0.9021587731437958,0.0,4.396056081540317,0.0,0,True,detour
dual_route,103,no_count,72.36322492239468,1.5374300000985386,264,True,56.48528137423856,0.9021587731437958,0.0,5.292647849385373,0.0,0,True,detour
dual_route,103,no_age,72.36322492239468,1.9555869998839626,264,True,56.48528137423856,0.9021587731437958,0.0,5.292647849385373,0.0,0,True,detour
dual_route,104,geometric,38.0,0.469921999865619,39,True,38.0,0.4000006735422595,27.0,0.0,0.0,0,True,direct
dual_route,104,linear,69.93577740345395,1.9392660001358308,261,True,56.48528137423856,0.9002400352592081,0.0,4.483498676405131,0.0,0,True,detour
dual_route,104,nonlinear,69.93577740345395,1.8195119996562426,261,True,56.48528137423856,0.9002400352592081,0.0,4.483498676405131,0.0,0,True,detour
dual_route,104,full,72.63745746889391,11.177549999956682,267,True,56.48528137423856,0.9002400352592081,0.0,5.38405869821844,0.0,0,True,detour
dual_route,104,no_variance,69.94768216535873,2.355964999878779,261,True,56.48528137423856,0.9002400352592081,0.0,4.487466930373385,0.0,0,True,detour
dual_route,104,no_count,72.62555270698915,11.715272000401455,267,True,56.48528137423856,0.9002400352592081,0.0,5.380090444250186,0.0,0,True,detour
dual_route,104,no_age,72.63745746889391,1.6417840001849981,267,True,56.48528137423856,0.9002400352592081,0.0,5.38405869821844,0.0,0,True,detour
dual_route,105,geometric,38.0,0.376083999981347,39,True,38.0,0.40787355724258995,27.0,0.0,0.0,0,True,direct
dual_route,105,linear,69.91869372675701,12.8205330001947,260,True,56.48528137423857,0.8997863184563398,0.0,4.477804117506146,0.0,0,True,detour
dual_route,105,nonlinear,69.91869372675701,2.1939610001027177,260,True,56.48528137423857,0.8997863184563398,0.0,4.477804117506146,0.0,0,True,detour
dual_route,105,full,72.60846903029218,12.254487000063818,266,True,56.48528137423857,0.8997863184563398,0.0,5.374395885351203,0.0,0,True,detour
dual_route,105,no_variance,69.91869372675701,1.9220950002818427,260,True,56.48528137423857,0.8997863184563398,0.0,4.477804117506146,0.0,0,True,detour
dual_route,105,no_count,72.60846903029218,12.910673000078532,266,True,56.48528137423857,0.8997863184563398,0.0,5.374395885351203,0.0,0,True,detour
dual_route,105,no_age,72.60846903029218,1.6580010001234768,266,True,56.48528137423857,0.8997863184563398,0.0,5.374395885351203,0.0,0,True,detour
dual_route,106,geometric,38.0,0.5207280000831815,39,True,38.0,0.4050943397318054,27.0,0.0,0.0,0,True,direct
dual_route,106,linear,69.94648567650881,12.198521999835066,262,True,56.48528137423857,0.900173616925142,0.0,4.487068100756765,0.0,0,True,detour
dual_route,106,nonlinear,69.94648567650881,1.728272000036668,262,True,56.48528137423857,0.900173616925142,0.0,4.487068100756765,0.0,0,True,detour
dual_route,106,full,72.63626098004404,1.9301850002193532,267,True,56.48528137423857,0.900173616925142,0.0,5.383659868601821,0.0,0,True,detour
dual_route,106,no_variance,69.94648567650881,11.371048999990307,262,True,56.48528137423857,0.900173616925142,0.0,4.487068100756765,0.0,0,True,detour
dual_route,106,no_count,72.63626098004404,2.097977999710565,267,True,56.48528137423857,0.900173616925142,0.0,5.383659868601821,0.0,0,True,detour
dual_route,106,no_age,72.63626098004404,2.584587000001193,267,True,56.48528137423857,0.900173616925142,0.0,5.383659868601821,0.0,0,True,detour
dual_route,107,geometric,38.0,0.5725030000576226,39,True,38.0,0.4003196420076551,27.0,0.0,0.0,0,True,direct
dual_route,107,linear,69.75762899757221,6.7020219998994435,260,True,56.48528137423856,0.9010386321482824,0.0,4.424115874444547,0.0,0,True,detour
dual_route,107,nonlinear,69.75762899757221,1.4499050002996228,260,True,56.48528137423856,0.9010386321482824,0.0,4.424115874444547,0.0,0,True,detour
dual_route,107,full,72.46381715416022,2.4067189997367677,265,True,56.48528137423856,0.9011162399841125,0.0,5.3261785933072225,0.0,0,True,detour
dual_route,107,no_variance,69.77404185062508,2.521485999750439,260,True,56.48528137423856,0.9011162399841125,0.0,4.429586825462167,0.0,0,True,detour
dual_route,107,no_count,72.44740430110737,2.501811000001908,265,True,56.48528137423856,0.9010386321482824,0.0,5.3207076422896025,0.0,0,True,detour
dual_route,107,no_age,72.46381715416022,1.5061489998515754,265,True,56.48528137423856,0.9011162399841125,0.0,5.3261785933072225,0.0,0,True,detour
dual_route,108,geometric,38.0,0.3704679998008942,39,True,38.0,0.40623646747087055,27.0,0.0,0.0,0,True,direct
dual_route,108,linear,69.6794019998119,1.3764919999630365,260,True,56.48528137423857,0.901689619825126,0.0,4.3980402085244465,0.0,0,True,detour
dual_route,108,nonlinear,69.6794019998119,1.9936379999307974,260,True,56.48528137423857,0.901689619825126,0.0,4.3980402085244465,0.0,0,True,detour
dual_route,108,full,72.36917730334706,12.404314999912458,265,True,56.48528137423857,0.901689619825126,0.0,5.294631976369502,0.0,0,True,detour
dual_route,108,no_variance,69.6794019998119,12.923154999953113,260,True,56.48528137423857,0.901689619825126,0.0,4.3980402085244465,0.0,0,True,detour
dual_route,108,no_count,72.36917730334706,1.3624319999507861,265,True,56.48528137423857,0.901689619825126,0.0,5.294631976369502,0.0,0,True,detour
dual_route,108,no_age,72.36917730334706,2.237269000033848,265,True,56.48528137423857,0.901689619825126,0.0,5.294631976369502,0.0,0,True,detour
dual_route,109,geometric,38.0,0.3734259998964262,39,True,38.0,0.40461329017554615,27.0,0.0,0.0,0,True,direct
dual_route,109,linear,69.62089945740267,2.1969680001348024,261,True,56.48528137423856,0.9024565387584661,0.0,4.3785393610547105,0.0,0,True,detour
dual_route,109,nonlinear,69.62089945740267,1.933883999754471,261,True,56.48528137423856,0.9024565387584661,0.0,4.3785393610547105,0.0,0,True,detour
dual_route,109,full,72.31067476093784,1.9028950000574696,266,True,56.48528137423856,0.9024565387584661,0.0,5.275131128899766,0.0,0,True,detour
dual_route,109,no_variance,69.62089945740267,11.947690999932092,261,True,56.48528137423856,0.9024565387584661,0.0,4.3785393610547105,0.0,0,True,detour
dual_route,109,no_count,72.31067476093784,1.7278830000577727,266,True,56.48528137423856,0.9024565387584661,0.0,5.275131128899766,0.0,0,True,detour
dual_route,109,no_age,72.31067476093784,2.298220999819023,266,True,56.48528137423856,0.9024565387584661,0.0,5.275131128899766,0.0,0,True,detour
sparse_misleading_score,100,geometric,38.0,0.46994100011943374,39,True,38.0,0.402079360409026,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,100,linear,42.55357142857144,1.1074379999627126,123,True,38.0,0.402079360409026,27.0,1.5178571428571428,0.0,0,True,direct
sparse_misleading_score,100,nonlinear,42.55357142857144,1.0231769997517404,123,True,38.0,0.402079360409026,27.0,1.5178571428571428,0.0,0,True,direct
sparse_misleading_score,100,full,72.36960032603676,11.221882999961963,284,True,56.48528137423857,0.9018599913023024,0.0,5.294772983932726,0.0,0,True,detour
sparse_misleading_score,100,no_variance,69.67982502250155,1.7149509999399015,279,True,56.48528137423857,0.9018599913023024,0.0,4.3981812160876705,0.0,0,True,detour
sparse_misleading_score,100,no_count,43.07738095238097,0.8894699999473232,124,True,38.0,0.402079360409026,27.0,1.6924603174603172,0.0,0,True,direct
sparse_misleading_score,100,no_age,72.36960032603676,2.541326000027766,284,True,56.48528137423857,0.9018599913023024,0.0,5.294772983932726,0.0,0,True,detour
sparse_misleading_score,101,geometric,38.0,0.3914159997293609,39,True,38.0,0.4024611726988474,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,101,linear,42.52380952380954,0.6980439998187649,123,True,38.0,0.4024611726988474,27.0,1.507936507936508,0.0,0,True,direct
sparse_misleading_score,101,nonlinear,42.52380952380954,0.7155319999583298,123,True,38.0,0.4024611726988474,27.0,1.507936507936508,0.0,0,True,direct
sparse_misleading_score,101,full,72.34188095550408,2.2866150002300856,284,True,56.48528137423856,0.9020996000398159,0.0,5.285533193755162,0.0,0,True,detour
sparse_misleading_score,101,no_variance,69.65210565196888,2.5923329999386624,277,True,56.48528137423856,0.9020996000398159,0.0,4.388941425910107,0.0,0,True,detour
sparse_misleading_score,101,no_count,43.04761904761906,1.098845999877085,124,True,38.0,0.4024611726988474,27.0,1.6825396825396832,0.0,0,True,direct
sparse_misleading_score,101,no_age,72.34188095550408,13.608466000277986,284,True,56.48528137423856,0.9020996000398159,0.0,5.285533193755162,0.0,0,True,detour
sparse_misleading_score,102,geometric,38.0,0.39762200003679027,39,True,38.0,0.4031286675865101,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,102,linear,42.64880952380953,0.9971560002668411,124,True,38.0,0.4031286675865101,27.0,1.5496031746031744,0.0,0,True,direct
sparse_misleading_score,102,nonlinear,42.64880952380953,0.6964109998079948,124,True,38.0,0.4031286675865101,27.0,1.5496031746031744,0.0,0,True,direct
sparse_misleading_score,102,full,72.68405524939831,2.066508999632788,288,True,56.48528137423856,0.9001704312092221,0.0,5.39959129171992,0.0,0,True,detour
sparse_misleading_score,102,no_variance,69.99427994586318,2.439654999761842,280,True,56.48528137423856,0.9001704312092221,0.0,4.502999523874866,0.0,0,True,detour
sparse_misleading_score,102,no_count,43.172619047619065,2.8784890000679297,124,True,38.0,0.4031286675865101,27.0,1.7242063492063493,0.0,0,True,direct
sparse_misleading_score,102,no_age,72.68405524939831,2.7174259998901107,288,True,56.48528137423856,0.9001704312092221,0.0,5.39959129171992,0.0,0,True,detour
sparse_misleading_score,103,geometric,38.0,0.6313089998002397,39,True,38.0,0.3945041987081544,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,103,linear,42.58333333333334,1.4167409999572556,123,True,38.0,0.3945041987081544,27.0,1.5277777777777777,0.0,0,True,direct
sparse_misleading_score,103,nonlinear,42.58333333333334,1.2693819999185507,123,True,38.0,0.3945041987081544,27.0,1.5277777777777777,0.0,0,True,direct
sparse_misleading_score,103,full,72.36322492239468,3.4401610000713845,284,True,56.48528137423856,0.9021587731437958,0.0,5.292647849385373,0.0,0,True,detour
sparse_misleading_score,103,no_variance,69.67344961885951,2.3911119997137575,277,True,56.48528137423856,0.9021587731437958,0.0,4.396056081540317,0.0,0,True,detour
sparse_misleading_score,103,no_count,43.10714285714287,1.195093999740493,124,True,38.0,0.3945041987081544,27.0,1.702380952380952,0.0,0,True,direct
sparse_misleading_score,103,no_age,72.36322492239468,3.377919999820733,284,True,56.48528137423856,0.9021587731437958,0.0,5.292647849385373,0.0,0,True,detour
sparse_misleading_score,104,geometric,38.0,0.6845040002190217,39,True,38.0,0.4000006735422595,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,104,linear,42.57142857142859,10.91128200005187,123,True,38.0,0.4000006735422595,27.0,1.523809523809524,0.0,0,True,direct
sparse_misleading_score,104,nonlinear,42.57142857142859,0.7826760001989896,123,True,38.0,0.4000006735422595,27.0,1.523809523809524,0.0,0,True,direct
sparse_misleading_score,104,full,72.63745746889391,2.0808589997614035,288,True,56.48528137423856,0.9002400352592081,0.0,5.38405869821844,0.0,0,True,detour
sparse_misleading_score,104,no_variance,69.94768216535873,12.624820999917574,279,True,56.48528137423856,0.9002400352592081,0.0,4.487466930373385,0.0,0,True,detour
sparse_misleading_score,104,no_count,43.09523809523811,0.8544369998162438,124,True,38.0,0.4000006735422595,27.0,1.6984126984126986,0.0,0,True,direct
sparse_misleading_score,104,no_age,72.63745746889391,2.523775999634381,288,True,56.48528137423856,0.9002400352592081,0.0,5.38405869821844,0.0,0,True,detour
sparse_misleading_score,105,geometric,38.0,0.5873899999642163,39,True,38.0,0.40787355724258995,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,105,linear,42.55357142857143,0.9200599997711834,123,True,38.0,0.40787355724258995,27.0,1.5178571428571428,0.0,0,True,direct
sparse_misleading_score,105,nonlinear,42.55357142857143,1.3078269998914038,123,True,38.0,0.40787355724258995,27.0,1.5178571428571428,0.0,0,True,direct
sparse_misleading_score,105,full,72.60846903029218,10.699324000142951,287,True,56.48528137423857,0.8997863184563398,0.0,5.374395885351203,0.0,0,True,detour
sparse_misleading_score,105,no_variance,69.91869372675701,2.0219859998178435,278,True,56.48528137423857,0.8997863184563398,0.0,4.477804117506146,0.0,0,True,detour
sparse_misleading_score,105,no_count,43.07738095238097,1.2362950001261197,124,True,38.0,0.40787355724258995,27.0,1.692460317460317,0.0,0,True,direct
sparse_misleading_score,105,no_age,72.60846903029218,2.9089879999446566,287,True,56.48528137423857,0.8997863184563398,0.0,5.374395885351203,0.0,0,True,detour
sparse_misleading_score,106,geometric,38.0,0.5838150000272435,39,True,38.0,0.4050943397318054,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,106,linear,42.52380952380955,11.566861000119388,123,True,38.0,0.4050943397318054,27.0,1.5079365079365081,0.0,0,True,direct
sparse_misleading_score,106,nonlinear,42.52380952380955,1.0611819998302963,123,True,38.0,0.4050943397318054,27.0,1.5079365079365081,0.0,0,True,direct
sparse_misleading_score,106,full,72.63626098004404,13.813107999794738,288,True,56.48528137423857,0.900173616925142,0.0,5.383659868601821,0.0,0,True,detour
sparse_misleading_score,106,no_variance,69.94648567650881,2.1905389999119507,280,True,56.48528137423857,0.900173616925142,0.0,4.487068100756765,0.0,0,True,detour
sparse_misleading_score,106,no_count,43.04761904761906,1.0258409997732088,124,True,38.0,0.4050943397318054,27.0,1.6825396825396832,0.0,0,True,direct
sparse_misleading_score,106,no_age,72.63626098004404,10.582511000393424,288,True,56.48528137423857,0.900173616925142,0.0,5.383659868601821,0.0,0,True,detour
sparse_misleading_score,107,geometric,38.0,0.36748399998032255,39,True,38.0,0.4003196420076551,27.0,0.0,0.0,0,True,direct
sparse_misleading_score,107,linear,42.54761904761907,0.8116330000120797,123,True,38.0,0.4003196420076551,27.0,1.515873015873016,0.0,0,True,direct
sparse_misleading_score,107,nonlinear,42.54761904761907,0.8383389999835344,123,True,38.0,0.4003196420076551,27.0,1.515873015873016,0.0,0,True,direct
sparse_misleading_score,107,full,72.46381715416022,10.333163999803219,284,True,56.48528137423856,0.9011162399841125,0.0,5.3261785933072225,0.0,0,True,detour
sparse_misleading_score,107,no_variance,69.77404185062508,2.033084999766288,278,True,56.48528137423856,0.9011162399841125,0.0,4.429586825462167,0.0,0,True,detour
sparse_misleading_score,107,no_count,43.071428571428584,0.987271000212786,124,True,38.0,0.4003196420076551,27.0,1.6904761904761907,0.0,0,True,direct
