scenario,seed,mode,objective,planning_ms,expanded,success,length_m,latent_quality_mean,synthetic_low_quality_exposure_m,normalized_cost_integral,unknown_exposure_m,collision_cells,valid_path,route
dual_route,100,geometric,38.0,0.6710409998049727,39,True,38.0,0.402079360409026,27.0,0.0,0.0,0,True,direct
dual_route,100,linear,69.66792026059679,2.2835580002720235,261,True,56.48528137423857,0.9018599913023024,0.0,4.394212962119417,0.0,0,True,detour
dual_route,100,nonlinear,57.85151299289684,9.568220999881305,234,True,56.48528137423857,0.9009776776729489,0.0,0.45541053955274,0.0,0,True,detour
dual_route,100,full,58.373703005166774,1.3154880002730351,234,True,56.48528137423856,0.9017782394339952,0.0,0.6294738769760696,0.0,0,True,detour
dual_route,100,no_variance,57.860952197882725,2.079582000078517,234,True,56.48528137423857,0.9007125892595009,0.0,0.45855694121469814,0.0,0,True,detour
dual_route,100,no_count,58.373703005166774,10.816238999723282,234,True,56.48528137423856,0.9017782394339952,0.0,0.6294738769760696,0.0,0,True,detour
dual_route,100,no_age,58.373703005166774,1.6584859999966284,234,True,56.48528137423856,0.9017782394339952,0.0,0.6294738769760696,0.0,0,True,detour
dual_route,101,geometric,38.0,0.353840000116179,39,True,38.0,0.4024611726988474,27.0,0.0,0.0,0,True,direct
dual_route,101,linear,69.65210565196888,1.8079329997817695,258,True,56.48528137423856,0.9020996000398159,0.0,4.388941425910107,0.0,0,True,detour
dual_route,101,nonlinear,57.85397854981573,11.55034799967325,234,True,56.48528137423856,0.900996869559616,0.0,0.45623239185903586,0.0,0,True,detour
dual_route,101,full,58.392581415138494,1.720301999739604,233,True,56.48528137423857,0.9012559389076762,0.0,0.6357666802999858,0.0,0,True,detour
dual_route,101,no_variance,57.85397854981573,1.9165819999216183,234,True,56.48528137423856,0.900996869559616,0.0,0.45623239185903586,0.0,0,True,detour
dual_route,101,no_count,58.392581415138494,2.0811549998143164,233,True,56.48528137423857,0.9012559389076762,0.0,0.6357666802999858,0.0,0,True,detour
dual_route,101,no_age,58.392581415138494,1.8830080002771865,233,True,56.48528137423857,0.9012559389076762,0.0,0.6357666802999858,0.0,0,True,detour
dual_route,102,geometric,38.0,0.4549520003820362,39,True,38.0,0.4031286675865101,27.0,0.0,0.0,0,True,direct
dual_route,102,linear,69.99427994586318,1.5228450001814053,262,True,56.48528137423856,0.9001704312092221,0.0,4.502999523874866,0.0,0,True,detour
dual_route,102,nonlinear,57.84309505502557,1.7772740002328646,235,True,56.48528137423856,0.8995214922017276,0.0,0.4526045602623172,0.0,0,True,detour
dual_route,102,full,58.46298871945247,10.829714000010426,236,True,56.48528137423856,0.8999106795374221,0.0,0.6592357817379743,0.0,0,True,detour
dual_route,102,no_variance,57.84309505502557,1.6617800001768046,235,True,56.48528137423856,0.8995214922017276,0.0,0.4526045602623172,0.0,0,True,detour
dual_route,102,no_count,58.46298871945247,13.160810000044876,236,True,56.48528137423856,0.8999106795374221,0.0,0.6592357817379743,0.0,0,True,detour
dual_route,102,no_age,58.46298871945247,1.4402129995687574,236,True,56.48528137423856,0.8999106795374221,0.0,0.6592357817379743,0.0,0,True,detour
dual_route,103,geometric,38.0,0.3640379995886178,39,True,38.0,0.3945041987081544,27.0,0.0,0.0,0,True,direct
